MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2
RSM3683,2.18E-05,3.23E-06,6.749226006,2.285466784,0.323459999
RSM3692,9.23E-05,3.38E-06,27.30769231,5.581705183,0.338015783
RSM3704,9.55E-05,4.04E-06,23.63861386,5.62068753,0.389937045
RSM3705,1.95E-05,3.38E-06,5.769230769,2.040524915,0.337387994
RSM3706,0.00101157,4.58E-06,220.8668122,1.827863615,0.329012844
RSM3715,0.000205974,3.55E-06,58.02084507,1.904360771,0.339583368
RSM3728,0.000427215,5.56E-06,76.83723022,6.438207569,0.497846529
RSM3735,3.92E-05,3.44E-06,11.39534884,3.217654984,0.333489208
RSM3749,0.000315379,8.99E-06,35.0810901,5.418905126,0.740401858
RSM3754,3.16E-05,2.98E-06,10.60402685,2.740191737,0.29398367
RSM3760,5.87E-05,3.40E-06,17.26470588,2.267749565,0.304563234
RSM3761,3.42E-05,1.30E-06,26.30769231,0.519140039,0.102292009
RSM3765,0.000294372,5.61E-06,52.47272727,3.537870299,0.493607484
RSM3766,6.17E-05,4.16E-06,14.83173077,3.664506078,0.410535916
RSM3770,6.12E-05,4.66E-06,13.13304721,3.713803889,0.450047962
RSM3775,0.000490425,1.31E-05,37.4370229,3.970561427,0.929474528
RSM3784,5.57E-05,4.24E-06,13.13679245,4.402894042,0.397990265
RSM3793,0.000179724,7.57E-06,23.74161162,6.396216605,0.65552453
RSM3796,0.000423432,8.66E-06,48.89515012,4.789301163,0.653008828
RSM3799,0.000761624,4.25E-06,179.2056471,2.062955407,0.357293326
RSM3801,0.000601951,2.94E-06,204.7452381,4.724249146,0.275855246
