pk,homo_energy,lumo_energy,bandgap,label,path,potential,var,homo_align,lumo_align,homo_align_corr,lumo_align_corr,bandgap_corr,direct_band_gap_energy,direct_band_gap,band_gap_energy,band_gap_transition,vbm,cbm,effective_mass_hole,effective_mass_electron,cellopt_retrieved,spatial_overlap,spatial_overlap_corr,Unnamed: 0
126862,-2.3025551126027004,-0.57114631223277,1.731408,19310N2_ddec.cif,b8f55ea9-bc6b-4ac9-b850-eac59f322d8b,2.116382682498481,9.673724972067252e-05,-4.418937795101182,-2.6875289947312515,-5.215720890769339,-2.155345346629164,3.033259456,1.7302122300000002,True,1.7302122300000002,Z-Z,-2.30231272,-0.57210049,1.1249516371347903,2.55033021217982,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/82/8c/43e5-ba01-412b-83b6-0623e2ffad4c/path,0.647381067276001,0.5943262436842918,282.0
126811,-0.88575199022723,0.38717575798756,1.272927,19350N2_ddec.cif,1484d2f9-d2f3-47fe-9b6a-8ce0dd52a2f0,3.2713342311881486,0.0173981933511131,-4.157086221415378,-2.8841584732005887,-4.952167281854578,-2.3569043261237272,2.479872889,1.2707184699999998,False,1.2495025,\Gamma-Y2,-0.87317832,0.37632418,0.0848421312599649,0.0943558787246178,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/e0/00/2719-113e-411b-9d29-c321ec380e89/path,0.8023794293403625,0.7656784829300641,283.0
126860,-2.81077370407802,-1.39572816596396,1.415045,19360N2_ddec.cif,cf201c6b-e263-4e0b-8c88-6f243f0dad3e,1.5977364410472592,1.450140077415027e-06,-4.408510145125279,-2.9934646070112194,-5.205225461068593,-2.4689507647089908,2.6514093150000004,1.4145723200000002,False,1.4145675900000003,\Gamma-Y,-2.81036248,-1.39579489,0.1017906833930557,15494.464460870026,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/c3/a1/bd33-b9db-42dd-96a0-8c2ab5d120a8/path,0.5802136063575745,0.5200719439643621,284.0
155829,-3.01880348886307,-0.98273885854303,2.036063,20470N2_ddec.cif,8fe4b2c9-6f0b-4ab0-bbbc-9e3752612739,2.36564212082726,1.0157001732958297e-07,-5.38444560969033,-3.348380979370289,-6.187504506153317,-2.832764890523102,3.400978041,2.03535588,False,2.03531456,\Gamma-U,-3.01871986,-0.9834053,6.737133289639468,164.2601458920894,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/dc/a2/95b6-210a-462b-8df9-79ff48df596b/path,0.2226763069629669,0.1248108841106295,285.0
125692,-1.38401474715042,-0.00663631598812,1.377378,18030N2_ddec.cif,d69b91bc-d6b3-4790-8166-e03b09e336c9,3.022974784685556,0.0055898458441798,-4.406989531835976,-3.029611100673676,-5.20369496379291,-2.5060034509675653,2.605945246,1.30858601,True,1.30858601,X-X,-1.36453506,-0.05594905,0.5521598448915335,0.7328689229748758,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/16/ff/934d-b65b-46e3-9553-8a864b3b56d5/path,0.6180762052536011,0.5619294256699084,287.0
125833,-2.34855434992826,-0.8390580458851999,1.509495,18050N2_ddec.cif,0f2cf376-9e19-458e-bcfc-d1c65c9d1c34,1.737361152805037,1.8219163249099588e-05,-4.085915502733297,-2.576419198690237,-4.880533953501063,-2.0414500280014014,2.765410465,1.50924056,True,1.50924056,\Gamma-\Gamma,-2.34842553,-0.83918497,4.486332155502436,1.4731339473350065,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/58/b6/f7ef-a567-4eaa-8448-865ab2b65995/path,0.6624146699905396,0.6109460418212413,288.0
125706,-0.6396749552463901,1.77770790731247,2.417382,18011N3_ddec.cif,f930b811-757f-46f5-bc3f-dcf1e7360874,4.30603256071926,0.0510055894327892,-4.945707515965649,-2.5283246534067896,-5.745914614819426,-1.9921497524676977,3.861230074,2.39606913,True,2.39606913,X-X,-0.62397998,1.77208915,7.799629803094176,21.361676177438696,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/b7/84/5c84-68b2-4de7-aaa8-f3ec6d9fd7b7/path,0.4856283962726593,0.4155070483633876,289.0
125766,-4.54580243685692,-2.4985990924702204,2.047202,18020N3_ddec.cif,75faaff6-b3a6-4e32-bce6-b413a304c5ea,0.6877509766219256,5.357883318673454e-05,-5.2335534134788455,-3.1863500690921462,-6.035631510666458,-2.6666718653242865,3.414422814,2.04700928,True,2.04700928,\Gamma-\Gamma,-4.54581001,-2.49880073,1.202496651197079,2.5209868781960147,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/9a/ca/0adc-63d4-4204-a354-8e946ceddc88/path,0.7134137749671936,0.6673260623639822,291.0
125783,-3.87141036242436,-1.87401966081908,1.997389,18021N3_ddec.cif,af2ec6c0-7658-47a2-8524-bc9dbac35dd6,1.2898878371827036,0.0009356461772771,-5.161298199607064,-3.163907498001784,-5.96290663790451,-2.6436666589766884,3.354298523,1.99724017,True,1.99724017,\Gamma-\Gamma,-3.87138481,-1.87414464,1.7822037968857725,3.680634931130162,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/89/d7/abc4-14d2-4cfa-81a9-a0fd02cdca0b/path,0.7017361521720886,0.6544163335877656,292.0
125906,-0.21297681712325,1.8976875914413,2.110663,18010N3_ddec.cif,823496ef-d5e6-47a5-bf23-913ccb5fbcdc,4.410998012787777,0.2115743925247517,-4.623974829911028,-2.5133104213464774,-5.42209066630545,-1.9767591136096336,3.491020241,2.11062153,True,2.11062153,\Gamma-\Gamma,-0.21295949,1.89766204,0.8288425766097277,0.5713801395031497,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/02/05/aded-3357-4fe6-8f4d-4eb88ffdc844/path,0.6930355429649353,0.6447977231031656,293.0
125864,-2.46317202788414,-0.42544886279505,2.037722,18023N3_ddec.cif,e08a23ad-4711-4a11-875c-34dc548f5074,2.310468489780778,0.0094521897680814,-4.7736405176649175,-2.735917352575828,-5.57272918102974,-2.204946800604904,3.402980454,2.0419662300000003,False,2.03740301,Z-\Gamma,-2.46319605,-0.42579304,12.905038535531006,1.7855006860155256,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/1c/b4/d5ee-8a8f-4223-af3e-ef68087294e9/path,0.6711115837097168,0.620560566906929,294.0
126287,-2.95809785094796,-1.35979932318032,1.598298,19090N2_ddec.cif,333925f6-44f1-4ab4-ab65-ba005e808746,2.017670813052,7.758103556708311e-06,-4.97576866399996,-3.3774701362323203,-5.77617116031596,-2.8625833125476645,2.872595686,1.59768599,False,1.59763036,U-\Gamma,-2.9578361,-1.36020574,386.2609319744468,0.8445126273816631,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/14/65/5604-96e0-49d4-ac83-304a67f9de63/path,0.6391644477844238,0.5852426886701584,296.0
