MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM4397,1.05E-05,3.14E-06,3.343949045,1.047885203,0.316139983,0.036654075,0.271061735,2.994963091,2.991831588,1.461190125,0.488393174,0.923676669
RSM4412,5.60E-05,3.48E-06,16.09195402,2.84431302,0.3311629,0.146502866,0.244377391,13.2776897,13.7155794,0.244385805,0.017818117,0.861378604
RSM4419,2.81E-05,3.27E-06,8.593272171,3.216806228,0.325119141,0.090721214,0.261316719,7.689163166,10.874081,0.005843565,0.000537385,0.647525332
RSM4456,9.18E-05,4.10E-06,22.3902439,4.092732368,0.3791593,0.248169518,0.277486671,19.80814151,86.72602369,0.002482633,2.86E-05,0.06195393
RSM4457,8.42E-05,4.97E-06,16.9416499,4.679487635,0.461496178,0.232803202,0.344173874,14.98126442,22.74273205,0.008767409,0.000385504,0.25720037
RSM4460,0.000166138,5.97E-06,27.82881072,3.887443581,0.522712868,0.35199255,0.358698761,21.73406766,15.95621407,0.023279067,0.001458934,0.252134157
RSM4464,9.09E-05,4.32E-06,21.04166667,3.062804759,0.401497893,0.219763092,0.288561326,16.86762949,16.06545134,0.162043009,0.010086427,0.737728824
RSM4480,5.16E-05,3.42E-06,15.0877193,3.422825673,0.335982023,0.145404453,0.264458016,12.17750708,15.32785078,0.036306865,0.002368686,0.796754376
RSM4489,0.000746702,9.81E-06,76.11641182,3.584010168,0.707191718,0.911529672,0.328012606,61.54853151,61.62248707,0.008203983,0.000133133,0.036883372
RSM4490,1.96E-05,3.57E-06,5.490196078,1.979168732,0.355984489,0.06577403,0.294851213,4.940705359,4.876999354,0.320569464,0.065730881,0.922381444
RSM4491,9.41E-05,4.17E-06,22.56594724,3.411125251,0.39272502,0.225590979,0.290438617,17.20302378,19.37340797,0.041195704,0.002126405,0.615198127
RSM4506,0.00220933,1.93E-05,114.473057,3.751445176,1.143913314,1.202856624,0.446450443,59.67302115,62.26802842,0.246542579,0.003959377,0.506536408
RSM4509,0.000180778,6.88E-06,26.27587209,2.362143733,0.493835783,0.332455158,0.317506896,23.19088552,38.24037457,0.0008667,2.27E-05,0.006590124
RSM4517,5.04E-05,3.97E-06,12.69521411,4.646227089,0.396086159,0.151178517,0.316915199,10.56536324,12.65934666,0.003279221,0.000259036,0.369631841
RSM4548,0.000241613,3.56E-06,67.86882022,1.583684984,0.258162952,0.377660318,0.127109588,65.80523773,71.16074724,0.003097774,4.35E-05,0.018445159
