MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM0372,0.000179895,4.59E-06,39.19281046,4.68106321,0.401234256,1.341420271,0.208422966,35.87853606,115.6160633,8.91E-05,7.71E-07,0.001537072
RSM0386,5.22E-05,1.89E-06,27.61904762,3.131048066,0.182888074,0.486221796,0.116616101,23.24295427,130.1893148,0.000225907,1.74E-06,0.009352761
RSM0398,0.0042732,8.95E-06,477.452514,2.888203178,0.661066734,2.461307403,0.040184202,341.4490653,160.398178,0.00058349,3.64E-06,0.003134175
RSM0400,0.00390287,1.19E-05,327.9722689,2.656853715,0.890936419,2.277118623,0.100607429,126.1743357,751.0585432,0.002346665,3.12E-06,0.012395606
RSM0402,0.000343691,5.03E-06,68.32823062,4.993200443,0.452668035,1.798494303,0.187153412,53.570628,116.6220542,0.000111485,9.56E-07,0.001403364
RSM0418,0.000291885,4.64E-06,62.90625,2.751781885,0.387238282,1.213919654,0.137647794,49.16274341,66.83781324,0.007196191,0.000107666,0.07017437
RSM0423,0.000254798,6.39E-06,39.87449139,5.683416458,0.584078036,1.869712295,0.286042408,36.43844037,70.08428372,0.004818843,6.88E-05,0.05351917
RSM0424,4.52E-06,8.19E-07,5.518925519,0.464524873,0.077528629,0.051199142,0.054887441,5.200021264,5.093517146,1.393127176,0.273509863,0.905204266
RSM0426,0.000430961,4.32E-06,99.75949074,4.187697213,0.384778733,1.795432276,0.135599978,73.81163591,62.71984544,0.000901484,1.44E-05,0.009724257
RSM0429,7.28E-05,4.90E-06,14.85714286,7.373058666,0.468582771,0.786221106,0.326624443,13.41873072,28.64711354,0.001216576,4.25E-05,0.088401698
RSM0431,0.000137915,6.45E-06,21.38217054,4.790979361,0.546487378,1.087182694,0.304493532,19.90397784,232.7410489,0.000242694,1.04E-06,0.004822304
RSM0433,0.000155516,4.58E-06,33.95545852,3.902643414,0.400775753,1.152446574,0.206555188,31.10284497,97.45186607,0.000559238,5.74E-06,0.008535923
RSM0439,1.94E-05,1.17E-06,16.58119658,0.867143934,0.111764078,0.153267856,0.060235946,14.18439343,250.8421313,9.98E-05,3.98E-07,0.003963223
RSM0441,0.000133117,1.38E-06,96.4615942,1.167593713,0.126848954,0.544116519,0.043795167,69.25978544,62.09994714,0.146208369,0.002354404,0.472518079
RSM0444,0.000472198,7.73E-06,61.08641656,4.233025877,0.60047766,1.98735843,0.163438413,67.78560647,304.5385588,0.000634955,2.08E-06,0.004631485
RSM0445,1.30E-05,2.29E-06,5.676855895,1.312941523,0.218326619,0.150521364,0.160876566,5.215798169,5.052480137,0.323514037,0.064030739,0.883072418
RSM0453,4.39E-05,1.02E-06,43.03921569,1.12910937,0.097223799,0.316687937,0.048109348,36.69589378,104.6328881,0.11735707,0.001121608,0.612316852
RSM0454,0.000182456,3.33E-06,54.79159159,2.213013569,0.287290558,0.8724918,0.112727201,43.14674646,36.48666485,0.000605937,1.66E-05,0.00653183
RSM0455,0.000183163,4.17E-06,43.92398082,4.413175874,0.395663228,1.42364142,0.201385056,39.4083995,66.78656609,0.01747573,0.000261665,0.159611993
