MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM2943,H2O,8.602167,3.09E-05,-29.9202428,0.085232017,-28.414,0.431426956,0.248130836,0.575139854
RSM2950,H2O,13.3162815,0.0304466,-57.25196335,1.938081966,-38.57134,1.314471313,0.051936273,0.03951115
RSM2953,H2O,7.1182635,0.00588792,-53.74144154,1.479019325,-47.27369,1.817476023,0.042090477,0.023158752
RSM2958,H2O,23.224752,4.53E-05,-28.15738707,0.170775591,-26.34256,0.757717092,0.15174187,0.200261907
RSM2965,H2O,22.893861,0.000489985,-41.55069557,0.466330649,-35.02395,1.132009122,0.086774498,0.076655299
RSM2966,H2O,27.8983515,0.0130422,-49.20525763,1.37544017,-37.44337,0.655021355,0.08729824,0.13327541
RSM2972,H2O,8.5285185,1.40E-05,-32.12419472,0.035438418,-24.9373,0.937011757,0.873260591,0.931963323
RSM2975,H2O,21.0408825,9.51E-05,-29.9224485,0.941301872,-35.42204,2.145882664,0.057918173,0.026990373
RSM2981,H2O,24.864555,0.000154829,-33.88418098,0.428784159,-31.6778,0.893519819,0.047964395,0.053680281
RSM2982,H2O,5.4062994,2.92E-06,-19.79525922,0.016040672,-20.25329,0.560618441,0.535970045,0.956033563
RSM2985,H2O,21.646665,0.000819502,-40.87738445,3.712678853,-48.66698,1.684135272,0.022504695,0.01336276
RSM2992,H2O,3.7490139,5.73E-06,-24.48538259,0.021024443,-24.35112,0.36340233,0.304330982,0.837449177
RSM2998,H2O,20.7835845,10.632,-69.46547759,13.85984753,-62.08495,3.011843284,0.003715422,0.001233604
RSM3003,H2O,17.445648,0.00350295,-48.93711593,5.664802125,-50.13481,2.178424485,0.026815631,0.012309645
RSM3007,H2O,19.7416275,0.00084241,-47.67339936,0.37271331,-33.53135,0.328519484,0.10773826,0.327950898
RSM3012,H2O,27.020286,0.000205643,-31.62280418,0.932632333,-38.75255145,1.344598929,0.162343407,0.120737421
RSM3013,H2O,25.3850895,0.000130371,-33.07786006,0.399040972,-32.11323,1.217512796,0.066155317,0.054336445
RSM3015,H2O,9.9222345,9.18E-06,-24.58218107,0.038040574,-23.85982,0.270572753,0.205642319,0.760025972
RSM3019,H2O,45.077766,1.70E-05,-22.02936252,0.096748754,-19.67177,0.947381023,0.708280255,0.747619213
RSM3032,H2O,4.23058185,0.000388289,-41.43314464,0.642455988,-40.41781,0.992175963,0.090188222,0.090899422
RSM3040,H2O,9.2300385,0.000574717,-44.85747967,0.386666304,-36.12097,0.970593118,0.314260142,0.323781548
RSM3044,H2O,14.5644765,0.000129044,-35.2408008,0.485871197,-34.3456,1.667295436,0.09057934,0.054327108
RSM3062,H2O,29.802168,1.35E-05,-21.33610392,0.084018676,-20.90921,0.615545496,0.283602857,0.460734193
RSM3065,H2O,18.800292,1.98E-05,-25.93185441,0.084302235,-24.40958,1.360616416,0.58461843,0.429671745
RSM3076,H2O,8.1318045,0.0696085,-61.9021515,1.771315921,-43.68537,1.331097593,0.038868959,0.029200683
RSM3083,H2O,10.585626,0.139828,-59.3392686,6.608983176,-56.89794,2.318923864,0.048898708,0.021086811
RSM3084,H2O,1.47537315,0.00670253,-49.03711034,1.119703264,-59.16574875,0.332069059,0.014469569,0.043573974
RSM3092,H2O,15.317223,0.00124323,-46.05325853,5.172839626,-47.6985,1.969346684,0.024217449,0.012297199
RSM3110,H2O,20.97123,0.0100227,-51.76372381,2.572518451,-42.53286,2.956242302,0.475625525,0.160888546
RSM3120,H2O,7.063041,1710200,-102.6664204,7.076676285,-55.7778,2.115478294,0.007178164,0.003393164
RSM3126,H2O,18.1267995,6.41E-05,-27.97995388,0.283259931,-30.0727,3.4004222,0.236504246,0.069551436
RSM3130,H2O,24.8041155,0.000514519,-38.2916879,0.914597562,-35.36429348,1.292013976,0.523340129,0.405057637
RSM3145,H2O,10.2214905,0.00108302,-45.47929311,0.504045999,-36.26307,1.302409891,0.337031781,0.258775508
RSM3148,H2O,4.8897054,0.000437138,-41.86192969,1.320964195,-50.77948,1.231234251,0.0591205,0.048017264
RSM3150,H2O,13.207779,0.165427,-57.51235061,7.063543353,-53.44867,2.556977448,0.029709416,0.011618959
RSM3159,H2O,6.716832,17.2743,-76.22086396,1.657379743,-44.93536,1.719556942,0.78845292,0.458520972
