MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM1930,H2O,5.2318296,0.00022304,-40.4869157,1.145783843,-41.54276,0.922681692,0.015220432,0.016495864
RSM1935,H2O,21.7062165,8.59E-06,-20.39249792,0.056825353,-20.81364,0.560755121,0.49079147,0.875233149
RSM1946,H2O,36.5100645,1.45E-05,-24.36145498,0.065650084,-21.10345,0.165135911,0.14994134,0.907987484
RSM1970,H2O,127.53012,2.28E-05,-24.20760421,0.112310236,-16.68592,0.167509825,0.15197655,0.90726947
RSM1974,H2O,13.595835,1.83E-05,-24.85175155,0.114855409,-28.5216,1.076427799,0.348612136,0.323860213
RSM1976,H2O,18.159822,0.000108236,-33.40350768,0.262528462,-31.78302,1.10030013,0.102542914,0.093195403
RSM1978,H2O,5.30379645,52.0037,-80.63683192,4.648294105,-67.08341,1.377791793,0.002754519,0.001999228
RSM1979,H2O,16.1740875,0.00175271,-43.73188054,1.080264447,-37.96464,1.654767671,0.066340131,0.040090299
RSM1982,H2O,12.961914,7.66E-05,-33.59491546,0.361099841,-36.99534,1.186644336,0.086078371,0.072539318
RSM1984,H2O,73.1268,1.00E-05,-18.87940236,0.073957328,-15.47658,0.246219848,0.232060438,0.942492815
RSM1987,H2O,35.9184345,6.55E-05,-28.23739353,0.290000337,-28.51009,1.170320154,0.162813711,0.13911895
RSM1993,H2O,16.136847,4.63E-05,-30.10224063,0.484598037,-33.00423,1.590164438,0.061176714,0.038471942
RSM2002,H2O,16.5829005,2.61672,-70.78753373,2.929901064,-50.17857,1.463432872,0.004252822,0.002906059
RSM2006,H2O,27.290127,2.95E-05,-24.29432515,0.129736153,-22.78305,0.584652351,0.159976165,0.273626138
RSM2008,H2O,12.664989,2.36757,-73.17091425,4.567738619,-54.0093,1.195935178,0.041017732,0.034297621
RSM2009,H2O,9.0290175,5.25E-05,-33.91009652,0.087077262,-33.11989,0.240035149,0.161061598,0.670991722
RSM2012,H2O,9.376059,0.0325904,-54.79816176,4.485253953,-51.46445,1.204038927,0.004752368,0.003947022
RSM2021,H2O,34.2459975,4.78E-05,-27.9849449,0.171055621,-24.66364,0.877017555,0.128594383,0.146626921
RSM2026,H2O,28.062798,0.216584,-63.59556938,7.004761402,-45.8186,1.973891785,0.01015501,0.005144664
RSM2032,H2O,28.43265,0.00700847,-48.15452116,2.237743113,-38.85877,0.739504183,0.003889287,0.005259317
